RightDownVectorBar,RightDownVectorBar,580,21.5,"{{Row[{""x"", ""⥕"", ""y"", ""⥕"", ""…""}]}}","Row[{""RightDownVectorBar"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
RightUpDownVector,RightUpDownVector,580,21.5,"{{Row[{""x"", ""⥏"", ""y"", ""⥏"", ""…""}]}}","Row[{""RightUpDownVector"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
RightUpTeeVector,RightUpTeeVector,580,21.5,"{{Row[{""x"", ""⥜"", ""y"", ""⥜"", ""…""}]}}","Row[{""RightUpTeeVector"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
RightUpVector,RightUpVector,580,21.5,"{{Row[{""x"", ""↾"", ""y"", ""↾"", ""…""}]}}","Row[{""RightUpVector"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
RightUpVectorBar,RightUpVectorBar,580,21.5,"{{Row[{""x"", ""⥔"", ""y"", ""⥔"", ""…""}]}}","Row[{""RightUpVectorBar"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
ShortDownArrow,ShortDownArrow,580,21.5,"{{Row[{""x"", """", ""y"", """", ""…""}]}}","Row[{""ShortDownArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
ShortUpArrow,ShortUpArrow,580,21.5,"{{Row[{""x"", """", ""y"", """", ""…""}]}}","Row[{""ShortUpArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
UpArrow,UpArrow,580,21.5,"{{Row[{""x"", ""↑"", ""y"", ""↑"", ""…""}]}}","Row[{""UpArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
UpArrowBar,UpArrowBar,580,21.5,"{{Row[{""x"", ""⤒"", ""y"", ""⤒"", ""…""}]}}","Row[{""UpArrowBar"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
UpArrowDownArrow,UpArrowDownArrow,580,21.5,"{{Row[{""x"", ""⇅"", ""y"", ""⇅"", ""…""}]}}","Row[{""UpArrowDownArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
UpDownArrow,UpDownArrow,580,21.5,"{{Row[{""x"", ""↕"", ""y"", ""↕"", ""…""}]}}","Row[{""UpDownArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
UpEquilibrium,UpEquilibrium,580,21.5,"{{Row[{""x"", ""⥮"", ""y"", ""⥮"", ""…""}]}}","Row[{""UpEquilibrium"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
UpTeeArrow,UpTeeArrow,580,21.5,"{{Row[{""x"", ""↥"", ""y"", ""↥"", ""…""}]}}","Row[{""UpTeeArrow"", ""["", ""x"", "","", ""y"", "","", ""…"", ""]""}]",False,Binary,Infix,None,650,
Sqrt,Sqrt,570,22,"{{Row[{""√"", ""expr""}]}}","Row[{""Sqrt"", ""["", ""expr"", ""]""}]",True,Unary,Prefix,None,650,
RadicalBox,RadicalBox,570,22,"{{Row[{""\@"", ""expr1"", ""\%"", ""expr2""}]}}","Row[{""RadicalBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",True,Binary,Prefix,,,
SqrtBox,Sqrt,570,22,"{{Row[{""\@"", ""expr""}]}}","Row[{""SqrtBox"", ""["", ""expr"", ""]""}]",True,Unary,Prefix,None,650,
CapitalDifferentialD,CapitalDifferentialD,550,24,"{{Row[{"""", ""x""}]}}","Row[{""CapitalDifferentialD"", ""["", ""x"", ""]""}]",False,Unary,Prefix,None,630,
Del,Del,550,24,"{{Row[{""∇"", ""expr""}]}}","Row[{""Del"", ""["", ""expr"", ""]""}]",False,Unary,Prefix,,,
DifferentialD,DifferentialD,550,24,"{{Row[{"""", ""x""}]}}","Row[{""DifferentialD"", ""["", ""x"", ""]""}]",False,Unary,Prefix,None,630,
