"FunctionApplyPrefix","",840,"{}","{""@"", """"}","{}","{{""expr1"", ""@"", ""expr2""}, {""expr1"", """", ""expr2""}}","Row[{""expr1"", ""["", ""expr2"", ""]""}]","Binary","Infix","Right","expr1[expr2]"
"FunctionApplyInfix","",830,"{}","{""~""}","{}","{{""expr1"", ""~"", ""expr2"", ""~"", ""expr3""}}","Row[{""expr2"", ""["", ""expr1"", "","", ""expr3"", ""]""}]","Ternary","Infix","Left","expr2[expr1, expr3]"
"Apply","",820,"{}","{""@@""}","{}","{{""expr1"", ""@@"", ""expr2""}}","Row[{""Apply"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","Right","Apply[expr1, expr2]"
"ApplyFirstLevel","",810,"{}","{""@@@""}","{}","{{""expr1"", ""@@@"", ""expr2""}}","Row[{""Apply"", ""["", ""expr1"", "","", ""expr2"", ""{"", ""1"", ""}"", ""]""}]","Binary","Infix","Right","Apply[expr1, expr2, List[1]]"
"Map","",800,"{}","{""/@""}","{}","{{""expr1"", ""/@"", ""expr2""}}","Row[{""Map"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","Right","Map[expr1, expr2]"
"MapAll","",800,"{}","{""//@""}","{}","{{""expr1"", ""//@"", ""expr2""}}","Row[{""MapAll"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","Right","MapAll[expr1, expr2]"
"Factorial","",790,"{}","{""!""}","{}","{{""expr"", ""!""}}","Row[{""Factorial"", ""["", ""expr"", ""]""}]","Unary","Postfix","Left","Factorial[expr]"
"Factorial2","",790,"{}","{""!!""}","{}","{{""expr"", ""!!""}}","Row[{""Factorial2"", ""["", ""expr"", ""]""}]","Unary","Postfix","Left","Factorial2[expr]"
"Conjugate","",780,"{}","{""""}","{}","{{""expr"", """"}}","Row[{""Conjugate"", ""["", ""expr"", ""]""}]","Unary","Postfix","Left","Conjugate[expr]"
"ConjugateTranspose","",780,"{}","{"""", """"}","{}","{{""expr"", """"}, {""expr"", """"}}","Row[{""ConjugateTranspose"", ""["", ""expr"", ""]""}]","Unary","Postfix","Left","ConjugateTranspose[expr]"
"SuperDagger","",780,"{}","{""^""}","{""†""}","{{""expr"", ""^"", ""†""}}","Row[{""SuperDagger"", ""["", ""expr"", ""]""}]","Unary","Postfix","Left","Power[expr, \[Dagger]]"
"Transpose","",780,"{}","{""""}","{}","{{""expr"", """"}}","Row[{""Transpose"", ""["", ""expr"", ""]""}]","Unary","Postfix","Left","Transpose[expr]"
"Derivative","",770,"{}","{""''""}","{}","{{""expr"", ""''""}}","Row[{""Derivative"", ""["", ""n"", ""]"", ""["", ""expr"", ""]""}]","Unary","Postfix","Left","Derivative[n][expr]"
"StringJoin","",760,"{}","{""<>""}","{}","{{""expr1"", ""<>"", ""expr2""}}","Row[{""StringJoin"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","None","StringJoin[expr1, expr2]"
"Power","",750,"{}","{""^""}","{}","{{""expr1"", ""^"", ""expr2""}}","Row[{""Power"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","Right","Power[expr1, expr2]"
"PartialSuperscriptBox","",750,"{}","{""""}","{}","{{""expr"", """"}}","Row[{""FractionBox"", ""["", ""expr"", "",\""\\["", ""Placeholder"", ""]\""]""}]","Unary","Postfix","Left",""
"SuperscriptBox","",750,"{}","{""\^""}","{}","{{""expr1"", ""\^"", ""expr2""}}","Row[{""SuperscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]","Binary","Infix","Right",""
"SupersubscriptBox","",750,"{}","{""\^""}","{""\%""}","{{""expr1"", ""\^"", ""expr2"", ""\%"", ""expr3""}}","Row[{""SubsuperscriptBox"", ""["", ""expr1"", "","", ""expr3"", ""]""}]","Ternary","Infix","Right",""
"DoubleDownArrow","",740,"{}","{""⇓""}","{}","{{""x"", ""⇓"", ""y""}}","Row[{""DoubleDownArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","DoubleDownArrow[x, y]"
"DoubleLongLeftArrow","",740,"{}","{""⟸""}","{}","{{""x"", ""⟸"", ""y""}}","Row[{""DoubleLongLeftArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","DoubleLongLeftArrow[x, y]"
"DoubleLongLeftRightArrow","",740,"{}","{""⟺""}","{}","{{""x"", ""⟺"", ""y""}}","Row[{""DoubleLongLeftRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","DoubleLongLeftRightArrow[x, y]"
"DoubleLongRightArrow","",740,"{}","{""⟹""}","{}","{{""x"", ""⟹"", ""y""}}","Row[{""DoubleLongRightArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","DoubleLongRightArrow[x, y]"
"DoubleUpArrow","",740,"{}","{""⇑""}","{}","{{""x"", ""⇑"", ""y""}}","Row[{""DoubleUpArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","DoubleUpArrow[x, y]"
"DoubleUpDownArrow","",740,"{}","{""⇕""}","{}","{{""x"", ""⇕"", ""y""}}","Row[{""DoubleUpDownArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","DoubleUpDownArrow[x, y]"
"DownArrow","",740,"{}","{""↓""}","{}","{{""x"", ""↓"", ""y""}}","Row[{""DownArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","DownArrow[x, y]"
"DownArrowBar","",740,"{}","{""⤓""}","{}","{{""x"", ""⤓"", ""y""}}","Row[{""DownArrowBar"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","DownArrowBar[x, y]"
"DownArrowUpArrow","",740,"{}","{""⇵""}","{}","{{""x"", ""⇵"", ""y""}}","Row[{""DownArrowUpArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","DownArrowUpArrow[x, y]"
"DownTeeArrow","",740,"{}","{""↧""}","{}","{{""x"", ""↧"", ""y""}}","Row[{""DownTeeArrow"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","DownTeeArrow[x, y]"
"LeftDownTeeVector","",740,"{}","{""⥡""}","{}","{{""x"", ""⥡"", ""y""}}","Row[{""LeftDownTeeVector"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","LeftDownTeeVector[x, y]"
"LeftDownVector","",740,"{}","{""⇃""}","{}","{{""x"", ""⇃"", ""y""}}","Row[{""LeftDownVector"", ""["", ""x"", "","", ""y"", ""]""}]","Binary","Infix","None","LeftDownVector[x, y]"
