Unofficial Name,Name,Parser Exception,NewPrec,RightPrec,Me,"Precedence Rank (WLD, corrected)","Precedence (UnicodeCharacters.tr, corrected)",Usage,Parse,Arity,Affix,Associativity,Usage String,FullForm,Meaningful,Comments
PartialOverscriptBox,PartialOverscriptBox,,950,710,,,790,"{Row[{""expr"", """"}]}","Row[{""FractionBox"", ""["", ""expr"", "",\""\\["", ""Placeholder"", ""]\""]""}]",Unary,Postfix,Left,,,False,This operator is an invisible Unicode character and is used in the layout of displayed expressions.
OverscriptBox,Overscript,X,950,710,,7,790,"{{Row[{""expr1"", ""\&"", ""expr2""}]}}","Row[{""OverscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,"Missing[""Unknown""]",expr1\&expr2,,True,
PartialUnderscriptBox,PartialUnderscriptBox,,950,710,,7,790,"{Row[{""expr"", """"}]}","Row[{""FractionBox"", ""["", ""expr"", "",\""\\["", ""Placeholder"", ""]\""]""}]",Unary,Postfix,Left,,,False,This operator is an invisible Unicode character and is used in the layout of displayed expressions.
UnderscriptBox,Underscript,X,950,710,,7,,"{{Row[{""expr1"", ""\+"", ""expr2""}]}}","Row[{""UnderscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,"Missing[""Unknown""]",expr1\+expr2,,True,
OverunderscriptBox,Underoverscript,X,940,700,,7.5,,"{{Row[{""expr1"", ""\&"", ""expr2"", ""\%"", ""expr3""}]}}","Row[{""UnderoverscriptBox"", ""["", ""expr1"", "","", ""expr3"", ""]""}]",Ternary,Infix,"Missing[""Unknown""]",expr1\&expr2\%expr3,,True,
UnderoverscriptBox,Underoverscript,X,940,700,,7.5,,"{{Row[{""expr1"", ""\+"", ""expr2"", ""\%"", ""expr3""}]}}","Row[{""UnderoverscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Ternary,Infix,"Missing[""Unknown""]",expr1\+expr2\%expr3,,True,
InterpretBoxes,None,X,930,696,,,,"{Row[{""\*"", ""expr""}]}",,Unary,Prefix,Right,\*expr,,True,
PartialSubscriptBox,PartialSubscriptBox,X,920,695,4,,780,"{Row[{""expr"", """"}]}","Row[{""FractionBox"", ""["", ""expr"", "",\""\\["", ""Placeholder"", ""]\""]""}]",Unary,Postfix,Left,,,False,This operator is an invisible Unicode character and is used in the layout of displayed expressions.
SubscriptBox,Subscript,X,920,695,4,8,,"{{Row[{""expr1"", ""\_"", ""expr2""}]}}","Row[{""SubscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,"Missing[""Unknown""]",expr1\_expr2,,True,
SubsuperscriptBox,Subsuperscript,X,920,695,4,8,,"{{Row[{""expr1"", ""\_"", ""expr2"", ""\%"", ""expr3""}]}}","Row[{""SubsuperscriptBox"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Ternary,Infix,"Missing[""Unknown""]",expr1\_expr2\%expr3,,True,
PatternTest,PatternTest,,910,690,3,9,,"{{Row[{""expr1"", ""?"", ""expr2""}]}}","Row[{""PatternTest"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,"Missing[""Unknown""]",expr1?expr2,"PatternTest[expr1, expr2]",True,
InlinePart,InlinePart,,900,,2,,763,"{{Row[{""expr1"", """", ""expr2""}]}}","Row[{""InlinePart"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,Right,,"RowBox[List[expr1, InlinePart, expr2]]",False,
Part,Part,,890,680,1,10,762,"{{Row[{""expr1"", ""[["", ""expr2"",""]]""}], Row[{""expr1"", ""〚"", ""expr2"",""〛""}]}}","Row[{""Part"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",n-ary,Postfix,Left,"expr1[[expr2,…]]","Part[expr1, expr2, \[Ellipsis]]",True,
FunctionApply,None,,890,680,1,,761,"{{Row[{""expr1"", ""["", ""expr2"", ""]""}]}}","{{Row[{""expr1"", ""["", ""expr2"", "","", ""…"", ""]""}]}}",n-ary,Postfix,Left,"expr1[expr2, \[Ellipsis]]","expr1[expr2, \[Ellipsis]]",True,
Decrement,Decrement,,880,670,,11,760,"{{Row[{""expr"", ""--""}]}}","Row[{""Decrement"", ""["", ""expr"", ""]""}]",Unary,Postfix,Left,expr--,Decrement[expr],True,
Increment,Increment,,880,670,,11,760,"{{Row[{""expr"", ""++""}]}}","Row[{""Increment"", ""["", ""expr"", ""]""}]",Unary,Postfix,Left,expr++,Increment[expr],True,
PreDecrement,PreDecrement,,870,660,,12,750,"{{Row[{""--"", ""expr""}]}}","Row[{""PreDecrement"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,--expr,PreDecrement[expr],True,
PreIncrement,PreIncrement,,870,660,,12,750,"{{Row[{""++"", ""expr""}]}}","Row[{""PreIncrement"", ""["", ""expr"", ""]""}]",Unary,Prefix,Right,++expr,PreIncrement[expr],True,
Composition,Composition,,860,650,2,13,740,"{{Row[{""expr1"", ""@*"", ""expr2""}]}}","Row[{""Composition"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1@*expr2,"Composition[expr1, expr2]",True,
RightComposition,RightComposition,,850,650,1,13,740,"{{Row[{""expr1"", ""/*"", ""expr2""}]}}","Row[{""RightComposition"", ""["", ""expr1"", "","", ""expr2"", ""]""}]",Binary,Infix,None,expr1/*expr2,"RightComposition[expr1, expr2]",True,
FunctionApplyPrefix,Prefix,,840,640,,14,730,"{{Row[{""expr1"", ""@"", ""expr2""}], Row[{""expr1"", """", ""expr2""}]}}","Row[{""expr1"", ""["", ""expr2"", ""]""}]",Binary,Infix,Right,expr1@expr2,expr1[expr2],True,Operator Notations includes usages with invisible unicode characters.
FunctionApplyInfix,Infix,,830,630,,15,720,"{{Row[{""expr1"", ""~"", ""expr2"", ""~"", ""expr3""}]}}","Row[{""expr2"", ""["", ""expr1"", "","", ""expr3"", ""]""}]",Ternary,Infix,Left,expr1~expr2~expr3,"expr2[expr1, expr3]",True,"Infix[f[x,y]] will display as x~f~y. Precedence identifies Infix with this operator, and Precedence[Infix]==30 which is almost correct."
