8807,"≧","GreaterFullEqual"
8811,"≫","GreaterGreater"
8823,"≷","GreaterLess"
10878,"⩾","GreaterSlantEqual"
8819,"≳","GreaterTilde"
711,"ˇ","Hacek"
9786,"☺","HappySmiley"
8463,"ℏ","HBar"
9825,"♡","HeartSuit"
62414,"","HermitianConjugate"
9472,"─","HorizontalLine"
8782,"≎","HumpDownHump"
8783,"≏","HumpEqual"
8208,"‐","Hyphen"
237,"í","IAcute"
301,"ĭ","ICup"
239,"ï","IDoubleDot"
236,"ì","IGrave"
238,"î","IHat"
63310,"","ImaginaryI"
63311,"","ImaginaryJ"
62366,"","ImplicitPlus"
62755,"","Implies"
62371,"
","IndentingNewLine"
8734,"∞","Infinity"
62750,"","InlinePart"
8747,"∫","Integral"
8898,"⋂","Intersection"
63341,"","InvisibleApplication"
63333,"","InvisibleComma"
62388,"","InvisiblePostfixScriptBase"
62387,"","InvisiblePrefixScriptBase"
62304,"","InvisibleSpace"
8290,"⁢","InvisibleTimes"
953,"ι","Iota"
9795,"♃","Jupiter"
954,"κ","Kappa"
63318,"","KernelIcon"
63443,"","KeyBar"
991,"ϟ","Koppa"
955,"λ","Lambda"
8710,"∆","Laplacian"
63483,"","LastPage"
9001,"〈","LeftAngleBracket"
8592,"←","LeftArrow"
8676,"⇤","LeftArrowBar"
8646,"⇆","LeftArrowRightArrow"
61715,"","LeftAssociation"
62979,"","LeftBracketingBar"
8968,"⌈","LeftCeiling"
12314,"〚","LeftDoubleBracket"
62981,"","LeftDoubleBracketingBar"
10593,"⥡","LeftDownTeeVector"
8643,"⇃","LeftDownVector"
10585,"⥙","LeftDownVectorBar"
8970,"⌊","LeftFloor"
171,"«","LeftGuillemet"
63339,"","LeftModified"
9666,"◂","LeftPointer"
8596,"↔","LeftRightArrow"
10574,"⥎","LeftRightVector"
63329,"","LeftSkeleton"
8867,"⊣","LeftTee"
8612,"↤","LeftTeeArrow"
10586,"⥚","LeftTeeVector"
8882,"⊲","LeftTriangle"
10703,"⧏","LeftTriangleBar"
8884,"⊴","LeftTriangleEqual"
10577,"⥑","LeftUpDownVector"
10592,"⥠","LeftUpTeeVector"
8639,"↿","LeftUpVector"
10584,"⥘","LeftUpVectorBar"
8636,"↼","LeftVector"
10578,"⥒","LeftVectorBar"
9804,"♌","LeoSign"
8804,"≤","LessEqual"
8922,"⋚","LessEqualGreater"
8806,"≦","LessFullEqual"
8822,"≶","LessGreater"
8810,"≪","LessLess"
10877,"⩽","LessSlantEqual"
8818,"≲","LessTilde"
63316,"","LetterSpace"
9806,"♎","LibraSign"
63267,"","LightBulb"
62520,"","Limit"
8232," ","LineSeparator"
8212,"—","LongDash"
63449,"","LongEqual"
10229,"⟵","LongLeftArrow"
10231,"⟷","LongLeftRightArrow"
10230,"⟶","LongRightArrow"
8601,"↙","LowerLeftArrow"
8600,"↘","LowerRightArrow"
322,"ł","LSlash"
9794,"♂","Mars"
63319,"","MathematicaIcon"
62521,"","MaxLimit"
8737,"∡","MeasuredAngle"
8287," ","MediumSpace"
9791,"☿","Mercury"
8487,"℧","Mho"
181,"µ","Micro"
62522,"","MinLimit"
8722,"−","Minus"
8723,"∓","MinusPlus"
63446,"","Mod1Key"
63447,"","Mod2Key"
9790,"☾","Moon"
956,"μ","Mu"
8892,"⊼","Nand"
9838,"♮","Natural"
62339,"","NegativeMediumSpace"
62340,"","NegativeThickSpace"
62338,"","NegativeThinSpace"
62336,"","NegativeVeryThinSpace"
9798,"♆","Neptune"
10914,"⪢","NestedGreaterGreater"
10913,"⪡","NestedLessLess"
63266,"","NeutralSmiley"
10,"
","NewLine"
328,"ň","NHacek"
8288,"⁠","NoBreak"
160," ","NonBreakingSpace"
8893,"⊽","Nor"
172,"¬","Not"
8802,"≢","NotCongruent"
8813,"≭","NotCupCap"
8742,"∦","NotDoubleVerticalBar"
8713,"∉","NotElement"
8800,"≠","NotEqual"
62464,"","NotEqualTilde"
8708,"∄","NotExists"
8815,"≯","NotGreater"
8817,"≱","NotGreaterEqual"
8809,"≩","NotGreaterFullEqual"
62503,"","NotGreaterGreater"
8825,"≹","NotGreaterLess"
62505,"","NotGreaterSlantEqual"
8821,"≵","NotGreaterTilde"
62466,"","NotHumpDownHump"
62465,"","NotHumpEqual"
8938,"⋪","NotLeftTriangle"
62482,"","NotLeftTriangleBar"
8940,"⋬","NotLeftTriangleEqual"
8814,"≮","NotLess"
8816,"≰","NotLessEqual"
8808,"≨","NotLessFullEqual"
8824,"≸","NotLessGreater"
62498,"","NotLessLess"
62500,"","NotLessSlantEqual"
8820,"≴","NotLessTilde"
62504,"","NotNestedGreaterGreater"
62499,"","NotNestedLessLess"
8832,"⊀","NotPrecedes"
62507,"","NotPrecedesEqual"
