"⥯","ReverseUpEquilibrium","DOWNWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT","($&ReverseUpEquilibrium;$)","Infix",650,"None","","0x296F",10607,""
"⊢","RightTee","RIGHT TACK","($rT$   $&RightTee;$   $\vdash$)","Infix",300,"Right","","0x22A2",8866,""
"⊣","LeftTee","LEFT TACK","($lT$   $&LeftTee;$   $\dashv$)","Infix",300,"Left","","0x22A3",8867,""
"⊤","DownTee","DOWN TACK","($dT$   $&DownTee;$)","Infix",300,"Left","","0x22A4",8868,""
"⊨","DoubleRightTee","TRUE","($&DoubleRightTee;$   $\models$)","Infix",300,"Right","","0x22A8",8872,""
"⫤","DoubleLeftTee","VERTICAL BAR DOUBLE LEFT TURNSTILE","($&DoubleLeftTee;$)","Infix",300,"Left","","0x2AE4",10980,""
"≏","HumpEqual","DIFFERENCE BETWEEN","($h=$   $&HumpEqual;$   $\bumpeq$)","Infix",390,"None","","0x224F",8783,""
"","NotHumpEqual","","($!h=$   $&NotHumpEqual;$)","Infix",390,"None","","0xF401",62465,""
"≎","HumpDownHump","GEOMETRICALLY EQUIVALENT TO","($&HumpDownHump;$)","Infix",390,"None","","0x224E",8782,""
"","NotHumpDownHump","","($&NotHumpDownHump;$)","Infix",390,"None","","0xF402",62466,""
"≐","DotEqual","APPROACHES THE LIMIT","($.=$   $&DotEqual;$   $\doteq$)","Infix",390,"None","","0x2250",8784,""
"∶","Colon","RATIO","($:$   $&colon;$)","Infix",205,"None","","0x2236",8758,""
"","Equal","","($==$   $&Equal;$)","Infix",390,"None","","0xF431",62513,""
"","LongEqual","","($l=$)","Infix",390,"None","","0xF7D9",63449,""
"√","Sqrt","SQUARE ROOT","($sqrt$   $&Sqrt;$   $\surd$)","Prefix",650,"None","","0x221A",8730,""
"∣","Divides","DIVIDES","($divides$   $&Divides;$)","Infix",590,"None","","0x2223",8739,""
"∥","DoubleVerticalBar","PARALLEL TO","($ ||$   $&DoubleVerticalBar;$   $\Vert$   $\parallel$   $\|$)","Infix",390,"None","","0x2225",8741,""
"∦","NotDoubleVerticalBar","NOT PARALLEL TO","($!||$   $&NotDoubleVerticalBar;$)","Infix",390,"None","","0x2226",8742,""
"¬","Not","NOT SIGN","($not$   $!$   $&not;$   $\neg$   $\lnot$)","Prefix",340,"None","","0x00AC",172,""
